epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1465.12,0.79755,0.4957,1.09695,0.72496,0.70649,0.74856,0.41738,0.90565,0.59098,1.12289,0.00025375,0.00025375,0.00025375
92,1604.23,0.79631,0.48767,1.0857,0.77101,0.69507,0.768,0.42652,0.9273,0.5663,1.14113,0.000249625,0.000249625,0.000249625
93,1748.84,0.79836,0.47947,1.07983,0.72557,0.69735,0.74594,0.41192,0.91742,0.59793,1.11385,0.0002455,0.0002455,0.0002455
94,1886.24,0.78731,0.48727,1.08623,0.75925,0.74561,0.77293,0.42247,0.89671,0.58023,1.09434,0.000241375,0.000241375,0.000241375
95,2023.95,0.78157,0.4876,1.08824,0.72112,0.77109,0.76129,0.40294,0.93037,0.57867,1.13924,0.00023725,0.00023725,0.00023725
96,2169.83,0.76788,0.46927,1.07771,0.78978,0.74212,0.76535,0.4191,0.92838,0.6036,1.14229,0.000233125,0.000233125,0.000233125
97,2309.52,0.7734,0.47289,1.07785,0.78696,0.68662,0.73878,0.4096,0.92441,0.56707,1.13068,0.000229,0.000229,0.000229
98,2450.05,0.77621,0.46257,1.08352,0.75799,0.7285,0.75063,0.41118,0.91554,0.57074,1.12112,0.000224875,0.000224875,0.000224875
99,2596.31,0.76281,0.45978,1.0745,0.72221,0.75401,0.77056,0.42074,0.88922,0.56827,1.10603,0.00022075,0.00022075,0.00022075
100,2739.75,0.76339,0.47191,1.0749,0.77262,0.74897,0.78903,0.43175,0.90555,0.54379,1.12497,0.000216625,0.000216625,0.000216625
101,2878.87,0.77477,0.47176,1.07845,0.76119,0.74631,0.76383,0.41345,0.93389,0.55485,1.14353,0.0002125,0.0002125,0.0002125
102,3032.41,0.74854,0.46245,1.07261,0.76158,0.74561,0.77851,0.41567,0.91244,0.55926,1.12457,0.000208375,0.000208375,0.000208375
103,3185.7,0.76302,0.46299,1.08182,0.79042,0.73158,0.76408,0.41876,0.89271,0.56247,1.12147,0.00020425,0.00020425,0.00020425
104,3342.02,0.75258,0.45857,1.06883,0.78754,0.71552,0.76217,0.4113,0.89861,0.56785,1.11921,0.000200125,0.000200125,0.000200125
105,3503.08,0.73822,0.45234,1.05498,0.75418,0.74413,0.76395,0.41136,0.90121,0.57352,1.12931,0.000196,0.000196,0.000196
106,3665.77,0.74438,0.45303,1.06708,0.70895,0.74135,0.75287,0.39911,0.91925,0.57177,1.14833,0.000191875,0.000191875,0.000191875
107,3831.06,0.75085,0.45743,1.07077,0.77041,0.73169,0.77073,0.40958,0.9121,0.55518,1.13594,0.00018775,0.00018775,0.00018775
108,3994.21,0.74437,0.45592,1.06062,0.76274,0.75073,0.79177,0.42938,0.89701,0.53035,1.12432,0.000183625,0.000183625,0.000183625
109,4151.47,0.73801,0.44536,1.05613,0.80175,0.74354,0.779,0.41337,0.93907,0.55985,1.16658,0.0001795,0.0001795,0.0001795
110,4312.01,0.72123,0.43519,1.04956,0.79498,0.70354,0.75871,0.38665,0.94696,0.5371,1.17452,0.000175375,0.000175375,0.000175375
111,4484.27,0.72004,0.43843,1.05683,0.77184,0.7514,0.80048,0.42187,0.92581,0.54322,1.14511,0.00017125,0.00017125,0.00017125
112,4648.57,0.70908,0.43352,1.04484,0.73092,0.75512,0.77064,0.40714,0.92979,0.54467,1.1506,0.000167125,0.000167125,0.000167125
113,4810.93,0.73063,0.44072,1.05203,0.77298,0.68276,0.75047,0.41937,0.90569,0.55154,1.13314,0.000163,0.000163,0.000163
114,4978.87,0.72823,0.43798,1.04484,0.74934,0.71191,0.74215,0.41805,0.91264,0.56074,1.12757,0.000158875,0.000158875,0.000158875
115,5149.31,0.72249,0.43431,1.04999,0.81698,0.68376,0.76641,0.41445,0.92587,0.53029,1.14164,0.00015475,0.00015475,0.00015475
116,5319.94,0.71982,0.43173,1.04074,0.80849,0.72689,0.77276,0.41413,0.91431,0.53019,1.12079,0.000150625,0.000150625,0.000150625
117,5482.15,0.7182,0.43051,1.05154,0.82465,0.70893,0.78177,0.41851,0.9197,0.54075,1.13179,0.0001465,0.0001465,0.0001465
118,5651.79,0.71636,0.4337,1.04185,0.7564,0.71008,0.75729,0.40484,0.92666,0.56268,1.13143,0.000142375,0.000142375,0.000142375
119,5817.77,0.71192,0.42887,1.04347,0.76386,0.70957,0.75327,0.40007,0.91376,0.5678,1.12346,0.00013825,0.00013825,0.00013825
